degree,I1,I2,I3,I4,I5,I6
129.0,0.17718530323483142,0.25026345051063625,-7.262288391818617e-9,0.4612030529152327,0.05174710832710071,0.43200794886208665
130.0,0.18006474907104061,0.2615614845368979,-7.359438611905498e-9,0.46648240219320586,0.05393107881278676,0.43680001319908546
131.0,0.18306185951134124,0.27332745799046815,-7.454466427433127e-9,0.47193702149994005,0.05618640762254385,0.441757722037686
132.0,0.18618055082763807,0.2855788304213109,-7.547320914099323e-9,0.477570208080742,0.05851449645884048,0.4468849308210374
133.0,0.18942487474259936,0.2983335602200928,-7.637959895494125e-9,0.48338548333223963,0.060916834849196314,0.45218569930840163
134.0,0.19279902516747877,0.31161012422972756,-7.726349489183882e-9,0.48938661255740573,0.06339500788660637,0.45766430740824
135.0,0.19630734569858158,0.3254275409030368,-7.812464076013349e-9,0.4955776253173852,0.06595070423151268,0.46332527172030846
136.0,0.19995433789331102,0.33980539729233716,-7.896285158284297e-9,0.5019628361373395,0.06858572428267534,0.4691733626343209
137.0,0.20374467015419626,0.35476387953711186,1.2969377598217766e-7,0.5085468660269475,0.0713019886712883,0.47521362219849134
138.0,0.20768318845757208,0.370323810944726,-8.057009315005966e-9,0.5153346594096402,0.07410154515770778,0.481451379832175
139.0,0.21172932577418166,0.386104424327035,-8.08772831987434e-9,0.5225360785891813,0.07705942402731362,0.4880113159219836
140.0,0.21598707365396122,0.40295368588271474,-8.164353899995492e-9,0.5297724109043029,0.0800421402285934,0.49468058081475413
141.0,0.22040935434887468,0.42047352871990645,-8.238611573980856e-9,0.5372307229870003,0.08311564286397012,0.5015663155170039
142.0,0.22500187747189532,0.4386879316981573,-8.310524813046997e-9,0.5449175219188029,0.08628259634473176,0.508675239844628
143.0,0.22977059184193274,0.45762175956014817,-8.380121347425368e-9,0.552839735196606,0.08954583126604118,0.5160144503891565
144.0,0.2347216991574436,0.47730082329795404,-8.447416580258408e-9,0.5610047242046149,0.0929083499907663,0.523591435013189
145.0,0.23986166794150063,0.4977519435241108,-8.512457456480816e-9,0.5694202954454299,0.0963733313727116,0.531414085957604
146.0,0.24519724763906378,0.5190030163444805,-8.57527480045259e-9,0.5780947093520403,0.09994413454438555,0.539490711389431
147.0,0.2507354826867763,0.5410830809868555,-8.635907297587606e-9,0.5870366864128252,0.10362430165669867,0.547830045135079
148.0,0.2564837263968623,0.5640223884722921,-8.69439613283398e-9,0.5962554104471125,0.10741755950018912,0.5564412544216777
149.0,0.2624496544611002,0.587852470456939,-8.75082999711501e-9,0.6057605288400429,0.11132781992468774,0.5653339454153286
150.0,0.26864127789600645,0.6126062073992807,-8.805117683227645e-9,0.6155621496191661,0.11535917900402051,0.5745181663997245
151.0,0.2750669551398805,0.6383178947903342,-8.857442422480423e-9,0.625670835054964,0.11951591480942884,0.5840044082611117
152.0,0.2817354031809323,0.6650233067647948,-8.907805766759848e-9,0.636097591863829,0.12380248381862319,0.5938036022754255
153.0,0.2886557073222209,0.6927597554092347,-8.955120552307344e-9,0.6468538575463691,0.1282235157617414,0.6039271147218057
154.0,0.2958373295107167,0.7215661453456582,-9.002836134324584e-9,0.6579514829453965,0.13278380693946304,0.6143867383399816
155.0,0.30329011448435844,0.7514830203029342,-9.047618568930726e-9,0.6694027102642481,0.1374883116789456,0.6251946798218594
156.0,0.31102429409018034,0.7825526032262559,-9.090627572935599e-9,0.6812201469806587,0.14234213213158947,0.6363635437542448
157.0,0.319050488709735,0.8148188252540808,-9.131924449339427e-9,0.6934167345533718,0.14735050592670612,0.6479063118483245
158.0,0.3273797057865239,0.8483273436082968,-9.215040374028553e-9,0.7060057118952857,0.15251879168647078,0.6598363174230486
159.0,0.3360233348451625,0.8831255457226062,-9.20779883075997e-9,0.7190005730226195,0.15785245214862892,0.6721672144959089
160.0,0.34499313852189667,0.9192625377989981,-9.246019719054172e-9,0.7324150180534388,0.16335703456865672,0.6849129407257804
161.0,0.3543012389871835,0.9567891148821165,-9.278891331898798e-9,0.7462628972405866,0.16903814825425967,0.6980876737404785
162.0,0.3639600991498665,0.9957577103047485,-9.314410713948042e-9,0.7605581467880799,0.17490143874044162,0.7117057797568478
163.0,0.373982497894196,1.036222321227977,-9.346445979125614e-9,0.7753147157577028,0.1809525583124956,0.7257817537199911
164.0,0.38438149853840947,1.0782384069030624,-9.377103078540558e-9,0.7905464830787945,0.187197132473051,0.7403301499661529
165.0,0.39517040963808275,1.1218627562326942,-9.406426636847214e-9,0.8062671633185047,0.1936407218157936,0.7553655021482305
166.0,0.4063627371331965,1.1671533203985516,-9.43446121285198e-9,0.8224902000922324,0.20028877884493718,0.7709022312630405
167.0,0.4179721267584213,1.2141690061248318,-9.461249824667467e-9,0.8392286457339512,0.20714659918093517,0.786954540412919
168.0,0.4300122955392039,1.2629694247479855,-9.486834560310156e-9,0.8564950257285547,0.21421926654633838,0.8035362948168691
169.0,0.44249695109116405,1.31361459171182,-9.511256730270556e-9,0.8743011864331399,0.22151159093136547,0.8206608855616999
170.0,0.45543969735698064,1.3661645708272905,-9.534566086585602e-9,0.8926581244377522,0.2290280392720969,0.8383410754324755
